+15,736,ว 3์/๑,+11,736,ว 3์/๑
+10,737,ว 3์/๑,+9,738,ว 3์/๑
+12,740,ว 2์/๑,+8,742,ว 2์/๑
+16,746,ว 2์/๑,+13,746,ว 2์/๑
+19,750,ั 2์/๑,+16,752,ั 2์/๑
+26,752,ัว 3์/๑,+15,752,ัว 3์/๑
+28,750,ว 2์/๑,+21,749,ว 2์/๑
+29,749,Þว 3์/๑,+20,749,Þว 3์/๑
+29,750,ว 3์/๑,+23,751,ว 3์/๑
+28,751,Þ 2์/๑,+18,751,Þ 2์/๑
+29,751,ว 3์/๑,+24,750,ว 3์/๑
+30,747,Þ 2์/๑,+24,748,Þ 2์/๑
+25,749,ุ,+24,749,ุ
+28,750,Þย 1์/๑,+24,750,Þย 1์/๑
+31,750,Þย 2์/๑,+26,749,Þย 2์/๑
+33,746,ย 2์/๑,+24,747,ย 2์/๑
+28,749,Þ 2์/๑,+20,749,Þ 2์/๑
+19,748,ว 2์/๑,+18,747,ว 2์/๑
+28,746,ว 3์/๑,+18,746,ว 3์/๑
+23,747,ัว 3์/๑,+19,747,ัว 3์/๑
+19,749,ัว 3์/๑,+13,750,ัว 3์/๑
+20,752,ัว 3์/๑,+13,752,ัว 3์/๑
+26,747,ว 3์/๑,+18,747,ว 3์/๑
+24,750,ัว 3์/๑,+18,749,ัว 3์/๑
+21,750,ั 2์/๑,+15,750,ั 2์/๑
+19,749,ัว 2์/๑,+11,749,ัว 2์/๑
+23,746,ว 2์/๑,+13,746,ว 2์/๑
+21,750,ัว 2์/๑,+17,750,ัว 2์/๑
+28,749,Þว 2์/๑,+19,749,Þว 2์/๑
+32,747,ว 3์/๑,+28,746,ว 3์/๑
+32,746,Þว 2์/๑,+28,746,Þว 2์/๑
+35,746,ว 2์/๑,+29,744,ว 2์/๑
+32,744,ั 1์/๑,+24,745,ั 1์/๑
+33,745,ย 2์/๑,+25,746,ย 2์/๑
+32,746,ย 3์/๑,+28,748,ย 3์/๑
+37,746,Þย 3์/๑,+27,747,Þย 3์/๑
+35,747,ย 2์/๑,+30,746,ย 2์/๑
+31,746,ว 3์/๑,+24,747,ว 3์/๑
+32,748,ัว 2์/๑,+26,748,ัว 2์/๑
+32,746,ัย 2์/๑,+27,746,ัย 2์/๑
+31,744,ั 2์/๑,+26,744,ั 2์/๑
+32,742,ย 2์/๑,+27,742,ย 2์/๑
+35,741,ว 2์/๑,+29,741,ว 2์/๑
+33,743,ว 3์/๑,+27,743,ว 3์/๑
+26,744,ว 3์/๑,+21,746,ว 3์/๑
+24,744,ว 1์/๑,+17,745,ว 1์/๑
+26,747,ัว 3์/๑,+20,748,ัว 3์/๑
+23,748,ัว 3์/๑,+17,750,ัว 3์/๑
+26,746,ว 2์/๑,+18,747,ว 2์/๑
+31,743,ว 3์/๑,+24,743,ว 3์/๑
+24,742,ัว 4์/๑,+16,745,ัว 4์/๑
+19,748,ัว 2์/๑,+14,747,ัว 2์/๑
+25,741,ว 3์/๑,+20,743,ว 3์/๑
+26,746,ั 2์/๑,+21,746,ั 2์/๑
+35,741,ว 3์/๑,+31,740,ว 3์/๑
+24,737,Þย 1์/๑,+22,734,Þย 1์/๑
+17,734,Þว 3์/๑,+17,734,Þว 3์/๑
+23,740,ว 4์/๑,+18,743,ว 4์/๑
+25,746,Þว 3์/๑,+19,746,Þว 3์/๑
+23,746,ว 2์/๑,+20,745,ว 2์/๑
+24,742,ัว 2์/๑,+17,743,ัว 2์/๑
+19,743,ัว 3์/๑,+17,744,ัว 3์/๑
+22,744,ั 1์/๑,+18,745,ั 1์/๑
+22,746,ัย 2์/๑,+17,747,ัย 2์/๑
+27,745,ว 2์/๑,+22,743,ว 2์/๑
+20,738,Þว 2์/๑,+18,739,Þว 2์/๑
+22,742,ว 3์/๑,+17,744,ว 3์/๑
+22,745,ว 3์/๑,+19,745,ว 3์/๑
+26,747,ว 2์/๑,+17,747,ว 2์/๑
+26,747,ัว 3์/๑,+19,748,ัว 3์/๑
+26,749,ัว 2์/๑,+20,748,ัว 2์/๑
+28,747,ัว 2์/๑,+22,747,ัว 2์/๑
+28,747,ว 2์/๑,+19,747,ว 2์/๑
+29,746,Þ 1์/๑,+25,745,Þ 1์/๑
+28,745,ั 2์/๑,+20,746,ั 2์/๑
+30,746,ว 3์/๑,+22,747,ว 3์/๑
+31,746,ว 4์/๑,+25,744,ว 4์/๑
+22,753,ั 3์/๑,+17,754,ั 3์/๑
+26,754,ว 2์/๑,+18,753,ว 2์/๑
+25,750,ัว 4์/๑,+18,750,ัว 4์/๑
+23,748,ั 2์/๑,+18,748,ั 2์/๑
+21,749,ัว 3์/๑,+16,750,ัว 3์/๑
+24,752,ั 2์/๑,+17,753,ั 2์/๑
+21,752,ว 2์/๑,+18,751,ว 2์/๑
+28,750,ั 2์/๑,+18,750,ั 2์/๑
+29,747,ัว 2์/๑,+23,748,ัว 2์/๑
+26,749,ัว 4์/๑,+20,751,ัว 4์/๑
+24,753,ั 2์/๑,+20,755,ั 2์/๑
+27,754,ว 2์/๑,+19,753,ว 2์/๑
+29,747,ว 3์/๑,+19,747,ว 3์/๑
+24,746,ว 1์/๑,+14,746,ว 1์/๑
+17,744,ุ,+15,743,ุ
+19,742,ัว 3์/๑,+13,743,ัว 3์/๑
+18,745,ว 3์/๑,+14,747,ว 3์/๑
+16,749,ัว 2์/๑,+12,749,ัว 2์/๑
+16,751,ัว 2์/๑,+13,752,ัว 2์/๑
+22,753,ัว 2์/๑,+17,754,ัว 2์/๑
+26,753,ว 2์/๑,+14,752,ว 2์/๑
+20,749,ั 2์/๑,+13,751,ั 2์/๑
+16,752,ั 2์/๑,+11,753,ั 2์/๑
+20,749,ัว 3์/๑,+15,749,ัว 3์/๑
+14,751,ย 2์/๑,+15,750,ย 2์/๑
+26,749,Þว 1์/๑,+16,750,Þว 1์/๑
+27,749,ว 2์/๑,+18,749,ว 2์/๑
+24,747,ว 2์/๑,+21,743,ว 2์/๑
+18,740,ว 5์/๑,+9,743,ว 5์/๑
+17,745,ัว 2์/๑,+10,746,ัว 2์/๑
+17,746,ัว 2์/๑,+8,747,ัว 2์/๑
+19,746,ัว 3์/๑,+9,746,ัว 3์/๑
+19,747,ั 1์/๑,+14,749,ั 1์/๑
+21,752,Þ 2์/๑,+18,752,Þ 2์/๑
+26,749,Þ 1์/๑,+18,749,Þ 1์/๑
+26,748,ว 1์/๑,+23,748,ว 1์/๑
+34,743,Þว 2์/๑,+30,743,Þว 2์/๑
+21,749,ว 3์/๑,+15,749,ว 3์/๑
+22,752,ว 2์/๑,+16,753,ว 2์/๑
+19,753,ว 2์/๑,+13,753,ว 2์/๑
+13,756,ัว 3์/๑,+11,758,ัว 3์/๑
+17,760,ัย 2์/๑,+11,761,ัย 2์/๑
,,,+10,761,ุ
+21,759,ย 1์/๑,+13,758,ย 1์/๑
+22,755,ัย 1์/๑,+17,754,ัย 1์/๑
+22,752,ว 2์/๑,+16,752,ว 2์/๑
+23,754,ัว 1์/๑,+15,755,ัว 1์/๑
+22,754,ว 1์/๑,+19,753,ว 1์/๑
+28,749,ว 3์/๑,+20,749,ว 3์/๑
+25,750,ัว 2์/๑,+18,752,ัว 2์/๑
+23,754,ย 1์/๑,+18,754,ย 1์/๑
+26,755,ย 1์/๑,+20,755,ย 1์/๑
+27,756,ย 1์/๑,+22,756,ย 1์/๑
+27,757,ว 2์/๑,+17,757,ว 2์/๑
+27,756,ัว 2์/๑,+18,756,ัว 2์/๑
+27,756,ว 1์/๑,+17,757,ว 1์/๑
+29,758,ว 1์/๑,+20,758,ว 1์/๑
+28,758,Þว 2์/๑,+23,758,Þว 2์/๑
+23,758,Þ 3์/๑,+17,757,Þ 3์/๑
+18,755,ัว 2์/๑,+9,755,ัว 2์/๑
+13,752,ัว 1์/๑,+7,751,ัว 1์/๑
+9,743,ว 3์/๑,+9,744,ว 3์/๑
+11,736,ว 3์/๑,+12,740,ว 3์/๑
+11,755,ัว 2์/๑,+4,756,ัว 2์/๑
+17,752,Þว 3์/๑,+12,749,Þว 3์/๑
+19,742,Þว 3์/๑,+9,742,Þว 3์/๑
+3,743,ั 2์/๑,+1,742,ั 2์/๑
0,740,ว 4์/๑,-1,743,ว 4์/๑
+1,745,Þว 4์/๑,0,745,Þว 4์/๑
0,744,ว 3์/๑,0,745,ว 3์/๑
+1,748,ว 2์/๑,-1,749,ว 2์/๑
+2,754,ว 4์/๑,+2,755,ว 4์/๑
+3,758,ว 3์/๑,+3,758,ว 3์/๑
+9,759,ว 3์/๑,+6,760,ว 3์/๑
+6,758,ว 4์/๑,+5,757,ว 4์/๑
+7,758,ัย 1์/๑,+5,759,ัย 1์/๑
+10,755,ว 3์/๑,+7,753,ว 3์/๑
+11,749,ว 3์/๑,+9,748,ว 3์/๑
+5,746,ว 2์/๑,+5,745,ว 2์/๑
+1,750,ั 2์/๑,+1,754,ั 2์/๑
+1,758,ั 2์/๑,-2,760,ั 2์/๑
+3,761,Þ 1์/๑,-2,761,Þ 1์/๑
+3,758,Þย 2์/๑,+3,755,Þย 2์/๑
0,752,ย 1์/๑,0,752,ย 1์/๑
+1,749,ย 2์/๑,+2,749,ย 2์/๑
+3,746,Þว 3์/๑,+3,749,Þว 3์/๑
+7,746,Þว 2์/๑,+5,745,Þว 2์/๑
+5,745,Þ 1์/๑,+4,743,Þ 1์/๑
+3,746,ัว 3์/๑,+1,752,ัว 3์/๑
0,756,ัว 2์/๑,-1,757,ัว 2์/๑
-1,761,ั 2์/๑,-2,763,ั 2์/๑
0,755,ว 3์/๑,+1,754,ว 3์/๑
+3,744,ว 3์/๑,+3,744,ว 3์/๑
+4,738,ว 3์/๑,+5,737,ว 3์/๑
+5,743,ัว 2์/๑,+4,745,ัว 2์/๑
+5,740,ว 2์/๑,+4,739,ว 2์/๑
+3,747,ัว 5์/๑,+3,751,ัว 5์/๑
+3,756,ว 2์/๑,-1,756,ว 2์/๑
+2,753,ว 2์/๑,+2,752,ว 2์/๑
+3,751,Þ 1์/๑,+2,750,Þ 1์/๑
+2,746,Þ 3์/๑,+1,743,Þ 3์/๑
0,736,ย 3์/๑,+1,735,ย 3์/๑
0,738,ย 2์/๑,0,740,ย 2์/๑
-1,743,ย 2์/๑,-3,745,ย 2์/๑
-4,749,ั 1์/๑,-5,750,ั 1์/๑
-3,748,ย 2์/๑,-4,748,ย 2์/๑
-3,748,ย 3์/๑,-5,749,ย 3์/๑
-6,752,ย 3์/๑,-7,754,ย 3์/๑
-4,754,ย 1์/๑,-5,755,ย 1์/๑
-6,755,Þ 1์/๑,-6,755,Þ 1์/๑
-9,752,ย 4์/๑,-9,750,ย 4์/๑
+3,741,Þว 3์/๑,+3,744,Þว 3์/๑
+7,746,Þว 2์/๑,+8,746,Þว 2์/๑
+10,748,Þว 2์/๑,+10,749,Þว 2์/๑
+3,755,ัว 2์/๑,+2,756,ัว 2์/๑
+1,752,ย 2์/๑,0,752,ย 2์/๑
0,744,ย 4์/๑,+2,740,ย 4์/๑
-4,746,ว 4์/๑,-5,749,ว 4์/๑
-2,751,ว 3์/๑,-3,752,ว 3์/๑
+2,754,ุ,-2,755,ุ
0,752,ย 2์/๑,-1,750,ย 2์/๑
-1,749,ย 1์/๑,-1,746,ย 1์/๑
+1,749,Þย 1์/๑,0,750,Þย 1์/๑
-1,754,ัย 2์/๑,-2,756,ัย 2์/๑
-3,755,ว 2์/๑,-2,753,ว 2์/๑
-1,748,Þว 2์/๑,-1,745,Þว 2์/๑
+2,745,ว 3์/๑,+1,743,ว 3์/๑
+2,731,ว 4์/๑,+3,731,ว 4์/๑
+1,737,ัว 3์/๑,+1,741,ัว 3์/๑
0,754,ัว 3์/๑,-1,755,ัว 3์/๑
+2,753,ว 5์/๑,+1,752,ว 5์/๑
-1,756,ว 2์/๑,-2,755,ว 2์/๑
-2,753,Þว 2์/๑,0,752,Þว 2์/๑
+1,744,Þ 2์/๑,-1,746,Þ 2์/๑
0,752,ว 2์/๑,-4,753,ว 2์/๑
-2,751,Þย 2์/๑,-3,749,Þย 2์/๑
-4,744,ัว 1์/๑,-5,743,ัว 1์/๑
-9,743,ัว 3์/๑,-10,746,ัว 3์/๑
-10,752,ว 2์/๑,-12,752,ว 2์/๑
-16,754,ย 1์/๑,-13,750,ย 1์/๑
-6,743,ย 2์/๑,-5,745,ย 2์/๑
-1,746,Þ 1์/๑,-1,743,Þ 1์/๑
+2,736,ุ,,,
+2,741,ว 2์/๑,+2,742,ว 2์/๑
+1,730,ย 1์/๑,0,733,ย 1์/๑
-1,743,ัว 5์/๑,-3,746,ัว 5์/๑
-5,743,Þว 2์/๑,-2,740,Þว 2์/๑
+1,736,ว 2์/๑,-3,735,ว 2์/๑
-4,745,ว 3์/๑,-3,748,ว 3์/๑
-6,752,ัว 3์/๑,-8,754,ัว 3์/๑
-11,757,ั 1์/๑,-15,758,ั 1์/๑
-16,759,ัย 2์/๑,-16,760,ัย 2์/๑
-16,762,ัย 2์/๑,-18,762,ัย 2์/๑
-19,760,ย 1์/๑,-20,758,ย 1์/๑
-12,745,ย 3์/๑,-14,745,ย 3์/๑
-17,752,Þย 2์/๑,-17,755,Þย 2์/๑
,,,-15,758,ุ
-16,756,ย 4์/๑,-17,755,ย 4์/๑
-16,752,ย 3์/๑,-14,751,ย 3์/๑
-9,750,ย 3์/๑,-7,749,ย 3์/๑
-6,740,ย 5์/๑,-3,737,ย 5์/๑
,,,-6,738,ุ
-12,744,ว 2์/๑,-15,747,ว 2์/๑
-17,755,ว 1์/๑,-19,754,ว 1์/๑
-11,747,ย 4์/๑,-9,746,ย 4์/๑
-6,747,Þย 2์/๑,-7,746,Þย 2์/๑
-5,749,ว 2์/๑,-4,750,ว 2์/๑
-6,756,ัว 1์/๑,-13,758,ัว 1์/๑
-12,755,ย 4์/๑,-8,753,ย 4์/๑
-4,752,Þย 3์/๑,-4,751,Þย 3์/๑
-7,743,ย 3์/๑,-5,742,ย 3์/๑
-2,741,ย 1์/๑,-3,742,ย 1์/๑
-8,754,Þว 4์/๑,-10,759,Þว 4์/๑
-12,764,ย 3์/๑,-10,761,ย 3์/๑
-6,758,Þย 2์/๑,-8,756,Þย 2์/๑
-8,757,ัย 1์/๑,-13,758,ัย 1์/๑
-19,756,ัว 2์/๑,-22,756,ัว 2์/๑
-19,755,ัว 4์/๑,-22,756,ัว 4์/๑
-17,755,ย 2์/๑,-20,755,ย 2์/๑
-17,753,ย 2์/๑,-20,754,ย 2์/๑
-11,745,Þย 3์/๑,-10,744,Þย 3์/๑
-3,746,ว 1์/๑,-1,747,ว 1์/๑
+1,749,Þ 1์/๑,0,749,Þ 1์/๑
+2,744,Þ 3์/๑,0,746,Þ 3์/๑
0,746,Þ 1์/๑,0,745,Þ 1์/๑
0,740,Þว 2์/๑,0,738,Þว 2์/๑
+2,743,ว 3์/๑,0,744,ว 3์/๑
+1,745,ว 1์/๑,-1,747,ว 1์/๑
-3,749,ว 1์/๑,-5,749,ว 1์/๑
-2,753,ัว 2์/๑,-5,755,ัว 2์/๑
-3,755,ว 2์/๑,-2,755,ว 2์/๑
0,758,ว 2์/๑,-4,760,ว 2์/๑
0,763,Þว 3์/๑,-4,764,Þว 3์/๑
-7,765,ย 3์/๑,-8,765,ย 3์/๑
-4,764,ย 2์/๑,-9,764,ย 2์/๑
-3,761,ย 1์/๑,-8,759,ย 1์/๑
-5,759,Þย 3์/๑,-7,759,Þย 3์/๑
-5,760,ย 2์/๑,-5,761,ย 2์/๑
-2,759,ย 3์/๑,-3,755,ย 3์/๑
0,748,ัว 3์/๑,-3,749,ัว 3์/๑
-2,753,ัย 3์/๑,-2,756,ัย 3์/๑
0,761,ัย 2์/๑,-2,761,ัย 2์/๑
+1,758,ย 3์/๑,-1,755,ย 3์/๑
-4,750,ย 3์/๑,-4,749,ย 3์/๑
-3,756,Þย 2์/๑,-5,754,Þย 2์/๑
+3,749,Þว 1์/๑,+1,750,Þว 1์/๑
+3,749,Þย 1์/๑,+1,749,Þย 1์/๑
0,742,Þย 2์/๑,-1,741,Þย 2์/๑
+3,749,ว 3์/๑,-1,753,ว 3์/๑
+1,758,Þ 2์/๑,-1,757,Þ 2์/๑
+1,758,ว 1์/๑,+1,760,ว 1์/๑
+2,760,ุ,-4,758,ุ
0,759,ัว 2์/๑,-3,761,ัว 2์/๑
-2,757,ย 3์/๑,-1,754,ย 3์/๑
0,750,Þย 1์/๑,0,749,Þย 1์/๑
+3,747,ย 2์/๑,+2,746,ย 2์/๑
+2,745,ว 1์/๑,+2,746,ว 1์/๑
+3,751,ว 1์/๑,+2,753,ว 1์/๑
+6,757,ุ,0,758,ุ
+3,758,ัย 2์/๑,+3,758,ัย 2์/๑
+2,756,ย 2์/๑,+1,756,ย 2์/๑
+3,756,ย 3์/๑,0,756,ย 3์/๑
+4,752,ย 1์/๑,+2,752,ย 1์/๑
+6,749,ัว 2์/๑,+2,750,ัว 2์/๑
+1,750,ัว 4์/๑,-2,750,ัว 4์/๑
-2,749,ั 1์/๑,-3,749,ั 1์/๑
-2,748,ั 2์/๑,-7,746,ั 2์/๑
0,737,ว 3์/๑,-1,733,ว 3์/๑
+2,734,ัว 2์/๑,-1,734,ัว 2์/๑
+3,729,Þว 3์/๑,+1,728,Þว 3์/๑
-4,728,ัว 4์/๑,-7,736,ัว 4์/๑
-4,743,Þว 2์/๑,-7,744,Þว 2์/๑
-2,745,ว 2์/๑,-5,746,ว 2์/๑
-2,749,Þย 2์/๑,-4,749,Þย 2์/๑
+4,746,Þย 3์/๑,+3,746,Þย 3์/๑
+2,747,ว 1์/๑,0,748,ว 1์/๑
+2,749,ย 3์/๑,+2,749,ย 3์/๑
+6,746,ย 2์/๑,+4,744,ย 2์/๑
+2,742,ัว 2์/๑,+2,743,ัว 2์/๑
+3,748,ัว 2์/๑,+2,749,ัว 2์/๑
+5,755,Þย 2์/๑,+2,755,Þย 2์/๑
+6,754,ย 1์/๑,+2,753,ย 1์/๑
+9,752,ัว 2์/๑,+4,751,ัว 2์/๑
+4,742,ว 3์/๑,+4,742,ว 3์/๑
+5,734,ย 3์/๑,+8,732,ย 3์/๑
+6,737,Þว 3์/๑,+3,739,Þว 3์/๑
+5,743,Þว 2์/๑,+4,743,Þว 2์/๑
+5,742,ั 1์/๑,+2,743,ั 1์/๑
+4,744,ัว 2์/๑,+2,746,ัว 2์/๑
+6,749,ว 2์/๑,+2,750,ว 2์/๑
+14,752,ั 1์/๑,+9,752,ั 1์/๑
+17,754,Þ 2์/๑,+13,753,Þ 2์/๑
+17,754,Þว 4์/๑,+12,753,Þว 4์/๑
+19,750,Þว 3์/๑,+14,750,Þว 3์/๑
+17,750,ัว 1์/๑,+11,751,ัว 1์/๑
+20,749,Þว 2์/๑,+16,749,Þว 2์/๑
+19,744,ย 3์/๑,+15,744,ย 3์/๑
+22,743,Þว 2์/๑,+18,745,Þว 2์/๑
+23,746,Þว 2์/๑,+19,746,Þว 2์/๑
+18,744,ั 1์/๑,+13,744,ั 1์/๑
+9,745,ั 2์/๑,+9,745,ั 2์/๑
+15,741,ย 1์/๑,+12,740,ย 1์/๑
+10,743,ว 3์/๑,+10,745,ว 3์/๑
+11,742,Þย 3์/๑,+13,740,Þย 3์/๑
+11,745,ว 3์/๑,+8,746,ว 3์/๑
+9,742,Þว 2์/๑,+6,744,Þว 2์/๑
,,,+9,754,ุ
+18,754,ย 2์/๑,+15,753,ย 2์/๑
+22,752,ย 3์/๑,+16,751,ย 3์/๑
+20,749,ย 2์/๑,+16,751,ย 2์/๑
+17,752,ย 4์/๑,+12,754,ย 4์/๑
+15,756,ย 2์/๑,+12,757,ย 2์/๑
+14,753,ย 3์/๑,+10,752,ย 3์/๑
+10,749,ย 2์/๑,+9,750,ย 2์/๑
+12,751,ย 3์/๑,+10,750,ย 3์/๑
+15,749,ย 2์/๑,+10,749,ย 2์/๑
+11,746,ัย 1์/๑,+11,746,ัย 1์/๑
+19,747,ย 2์/๑,+15,749,ย 2์/๑
+21,749,ย 2์/๑,+18,749,ย 2์/๑
+23,749,ั 3์/๑,+18,750,ั 3์/๑
+21,752,ั 1์/๑,+15,752,ั 1์/๑
+19,754,ว 2์/๑,+17,752,ว 2์/๑
+25,749,ว 4์/๑,+19,749,ว 4์/๑
+22,751,ว 1์/๑,+18,749,ว 1์/๑
+22,744,Þว 2์/๑,+15,743,Þว 2์/๑
+10,742,ั 3์/๑,+7,743,ั 3์/๑
+15,745,ัย 3์/๑,+10,746,ัย 3์/๑
+8,747,ย 2์/๑,+8,748,ย 2์/๑
+15,748,ย 3์/๑,+13,749,ย 3์/๑
+18,750,Þย 3์/๑,+15,752,Þย 3์/๑
+17,752,ย 3์/๑,+13,752,ย 3์/๑
+24,751,ย 2์/๑,+20,750,ย 2์/๑
+17,748,ว 1์/๑,+16,749,ว 1์/๑
+20,748,ย 2์/๑,+14,749,ย 2์/๑
+20,747,Þว 2์/๑,+16,748,Þว 2์/๑
+21,751,ั 2์/๑,+17,751,ั 2์/๑
+25,749,Þย 2์/๑,+22,749,Þย 2์/๑
+29,748,Þย 2์/๑,+23,748,Þย 2์/๑
+30,749,Þย 2์/๑,+21,749,Þย 2์/๑
+29,751,ว 2์/๑,+21,751,ว 2์/๑
+30,751,ว 2์/๑,+25,751,ว 2์/๑
+30,750,ัย 1์/๑,+24,750,ัย 1์/๑
+24,749,ัว 2์/๑,+21,748,ัว 2์/๑
+17,751,ัย 3์/๑,+14,752,ัย 3์/๑
,,,+15,752,ุ
+21,749,ัว 2์/๑,+18,749,ัว 2์/๑
+20,744,ัย 2์/๑,+19,743,ัย 2์/๑
+18,743,ว 1์/๑,+17,743,ว 1์/๑
+25,742,ว 4์/๑,+18,743,ว 4์/๑
+22,743,Þว 3์/๑,+18,743,Þว 3์/๑
+18,741,ว 4์/๑,+15,743,ว 4์/๑
+12,745,ว 3์/๑,+12,746,ว 3์/๑
+16,749,ว 3์/๑,+12,749,ว 3์/๑
+20,750,ว 2์/๑,+13,750,ว 2์/๑
+24,751,ว 2์/๑,+17,750,ว 2์/๑
+26,748,Þว 2์/๑,+22,747,Þว 2์/๑
+22,746,Þว 2์/๑,+20,747,Þว 2์/๑
+22,749,ว 1์/๑,+20,749,ว 1์/๑
+29,749,ว 1์/๑,+26,749,ว 1์/๑
+31,750,ย 1์/๑,+27,751,ย 1์/๑
+31,752,ัย 1์/๑,+26,753,ัย 1์/๑
+29,753,ย 3์/๑,+23,752,ย 3์/๑
+31,752,ว 2์/๑,+27,752,ว 2์/๑
+30,752,ว 1์/๑,+24,753,ว 1์/๑
+30,754,ั 2์/๑,+26,754,ั 2์/๑
+31,752,ั 2์/๑,+23,752,ั 2์/๑
+27,749,ัว 4์/๑,+23,749,ัว 4์/๑
+26,749,ัว 3์/๑,+22,749,ัว 3์/๑
+20,750,ว 1์/๑,+18,750,ว 1์/๑
+22,748,Þย 1์/๑,+17,746,Þย 1์/๑
+24,741,ว 2์/๑,+21,740,ว 2์/๑
+19,744,ัว 4์/๑,+15,745,ัว 4์/๑
+23,746,ัว 3์/๑,+19,746,ัว 3์/๑
+24,746,ัว 3์/๑,+20,747,ัว 3์/๑
+23,749,ัว 2์/๑,+18,749,ัว 2์/๑
+26,747,ัว 3์/๑,+23,747,ัว 3์/๑
+29,745,ัว 2์/๑,+25,746,ัว 2์/๑
+29,743,ว 2์/๑,+21,743,ว 2์/๑
+30,740,Þว 3์/๑,+22,742,Þว 3์/๑
+24,745,ว 3์/๑,+21,746,ว 3์/๑
+26,749,ว 2์/๑,+22,748,ว 2์/๑
+31,746,Þย 2์/๑,+25,744,Þย 2์/๑
+19,740,ว 2์/๑,+16,742,ว 2์/๑
+24,746,ว 3์/๑,+22,746,ว 3์/๑
+27,747,ว 2์/๑,+20,747,ว 2์/๑
+21,746,Þว 1์/๑,+18,746,Þว 1์/๑
+29,746,ว 4์/๑,+25,746,ว 4์/๑
+31,746,ว 3์/๑,+28,745,ว 3์/๑
+29,749,ัว 2์/๑,+23,749,ัว 2์/๑
+30,749,ัว 3์/๑,+25,749,ัว 3์/๑
+33,746,ว 4์/๑,+24,747,ว 4์/๑
+29,745,ัว 3์/๑,+25,745,ัว 3์/๑
+28,744,ัย 3์/๑,+24,744,ัย 3์/๑
+28,745,ย 3์/๑,+26,746,ย 3์/๑
+31,747,ย 2์/๑,+26,747,ย 2์/๑
+18,746,Þย 2์/๑,+17,746,Þย 2์/๑
+24,744,ย 2์/๑,+18,746,ย 2์/๑
+23,745,ว 3์/๑,+22,745,ว 3์/๑
+26,746,ั 2์/๑,+23,747,ั 2์/๑
+26,749,ัย 2์/๑,+23,749,ัย 2์/๑
+27,749,ั 1์/๑,+21,749,ั 1์/๑
+28,748,ว 2์/๑,+21,748,ว 2์/๑
+29,746,ว 3์/๑,+21,746,ว 3์/๑
+31,747,ว 3์/๑,+22,748,ว 3์/๑
+32,749,ว 2์/๑,+25,749,ว 2์/๑
+21,751,ัว 2์/๑,+21,752,ัว 2์/๑
+31,751,ว 2์/๑,+22,750,ว 2์/๑
+33,749,Þว 2์/๑,+28,749,Þว 2์/๑
+33,749,Þว 1์/๑,+25,751,Þว 1์/๑
+31,752,ัว 2์/๑,+25,753,ัว 2์/๑
+30,755,ย 1์/๑,+25,755,ย 1์/๑
+31,753,ย 1์/๑,+21,752,ย 1์/๑
+34,749,Þย 1์/๑,+27,749,Þย 1์/๑
+26,750,ัว 2์/๑,+24,750,ัว 2์/๑
+29,749,ัย 3์/๑,+26,748,ัย 3์/๑
+30,747,ย 3์/๑,+24,747,ย 3์/๑
+33,749,ัว 1์/๑,+27,749,ัว 1์/๑
+34,749,ว 3์/๑,+31,749,ว 3์/๑
+36,748,Þย 2์/๑,+30,748,Þย 2์/๑
+30,746,Þว 2์/๑,+22,749,Þว 2์/๑
+26,753,ว 2์/๑,+19,754,ว 2์/๑
+33,752,Þย 2์/๑,+29,751,Þย 2์/๑
+35,752,ย 2์/๑,+29,753,ย 2์/๑
+34,753,Þย 2์/๑,+29,753,Þย 2์/๑
+36,754,ย 2์/๑,+29,755,ย 2์/๑
+29,756,Þย 3์/๑,+27,756,Þย 3์/๑
+29,757,Þย 1์/๑,+25,757,Þย 1์/๑
+32,757,ัว 1์/๑,+24,756,ัว 1์/๑
+33,753,ว 2์/๑,+23,752,ว 2์/๑
+33,749,Þ 2์/๑,+21,749,Þ 2์/๑
+24,749,Þว 1์/๑,+20,749,Þว 1์/๑
+22,751,ัว 2์/๑,+19,752,ัว 2์/๑
+28,746,ว 3์/๑,+23,746,ว 3์/๑
+20,752,ัว 3์/๑,+15,754,ัว 3์/๑
+22,754,Þว 2์/๑,+20,752,Þว 2์/๑
+27,747,Þว 3์/๑,+22,746,Þว 3์/๑
+14,742,ัย 1์/๑,+11,741,ัย 1์/๑
+14,738,ั 2์/๑,+13,742,ั 2์/๑
+17,744,ว 3์/๑,+15,746,ว 3์/๑
+22,746,ัว 2์/๑,+14,747,ัว 2์/๑
+20,749,ว 2์/๑,+21,747,ว 2์/๑
+20,748,ว 2์/๑,+16,749,ว 2์/๑
+17,746,ว 3์/๑,+12,745,ว 3์/๑
+14,739,ว 2์/๑,+13,737,ว 2์/๑
+14,741,ัว 3์/๑,+12,744,ัว 3์/๑
+14,747,ว 2์/๑,+12,748,ว 2์/๑
+14,748,ัว 2์/๑,+10,749,ัว 2์/๑
+12,750,ว 2์/๑,+11,749,ว 2์/๑
+17,737,ัว 3์/๑,+12,739,ัว 3์/๑
+12,740,ัว 3์/๑,+9,742,ัว 3์/๑
+11,741,ุ,+9,741,ุ
+13,743,ว 2์/๑,+10,744,ว 2์/๑
+11,742,ย 1์/๑,+10,743,ย 1์/๑
+14,743,ว 3์/๑,+10,743,ว 3์/๑
